"","ID","Year","Wave","State","Area","Juristiction","Depth.Allowed","Species","start_date","end_date","Bag_Limit","Agg_bag_limit","Agg_bag_limit_wt","Poss_limit","Min_Size","Max_Size","Bag_above_max_size","Bag_below_min","Mode","Gear.Restriction","Other","Comments"
"1",NA,1994,1,"FL",NA,1,NA,"Bluefish",0094-01-01,0094-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"2",NA,1994,2,"FL",NA,1,NA,"Bluefish",0094-03-01,0094-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"3",NA,1994,3,"FL",NA,1,NA,"Bluefish",0094-05-01,0094-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"4",NA,1994,4,"FL",NA,1,NA,"Bluefish",0094-07-01,0094-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"5",NA,1994,5,"FL",NA,1,NA,"Bluefish",0094-09-01,0094-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"6",NA,1994,6,"FL",NA,1,NA,"Bluefish",0094-11-01,0094-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"7",NA,1995,1,"FL",NA,1,NA,"Bluefish",1995-01-01,1995-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"8",NA,1995,2,"FL",NA,1,NA,"Bluefish",1995-03-01,1995-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"9",NA,1995,3,"FL",NA,1,NA,"Bluefish",1995-05-01,1995-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"10",NA,1995,4,"FL",NA,1,NA,"Bluefish",1995-07-01,1995-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"11",NA,1995,5,"FL",NA,1,NA,"Bluefish",1995-09-01,1995-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"12",NA,1995,6,"FL",NA,1,NA,"Bluefish",1995-11-01,1995-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"13",NA,1996,1,"FL",NA,1,NA,"Bluefish",1996-01-01,1996-02-29,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"14",NA,1996,2,"FL",NA,1,NA,"Bluefish",1996-03-01,1996-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"15",NA,1996,3,"FL",NA,1,NA,"Bluefish",1996-05-01,1996-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"16",NA,1996,4,"FL",NA,1,NA,"Bluefish",1996-07-01,1996-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"17",NA,1996,5,"FL",NA,1,NA,"Bluefish",1996-09-01,1996-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"18",NA,1996,6,"FL",NA,1,NA,"Bluefish",1996-11-01,1996-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"19",NA,1997,1,"FL",NA,1,NA,"Bluefish",1997-01-01,1997-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"20",NA,1997,2,"FL",NA,1,NA,"Bluefish",1997-03-01,1997-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"21",NA,1997,3,"FL",NA,1,NA,"Bluefish",1997-05-01,1997-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"22",NA,1997,4,"FL",NA,1,NA,"Bluefish",1997-07-01,1997-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"23",NA,1997,5,"FL",NA,1,NA,"Bluefish",1997-09-01,1997-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"24",NA,1997,6,"FL",NA,1,NA,"Bluefish",1997-11-01,1997-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"25",NA,1998,1,"FL",NA,1,NA,"Bluefish",1998-01-01,1998-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"26",NA,1998,2,"FL",NA,1,NA,"Bluefish",1998-03-01,1998-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"27",NA,1998,3,"FL",NA,1,NA,"Bluefish",1998-05-01,1998-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"28",NA,1998,4,"FL",NA,1,NA,"Bluefish",1998-07-01,1998-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"29",NA,1998,5,"FL",NA,1,NA,"Bluefish",1998-09-01,1998-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"30",NA,1998,6,"FL",NA,1,NA,"Bluefish",1998-11-01,1998-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"31",NA,1999,1,"FL",NA,1,NA,"Bluefish",1999-01-01,1999-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"32",NA,1999,2,"FL",NA,1,NA,"Bluefish",1999-03-01,1999-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"33",NA,1999,3,"FL",NA,1,NA,"Bluefish",1999-05-01,1999-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"34",NA,1999,4,"FL",NA,1,NA,"Bluefish",1999-07-01,1999-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"35",NA,1999,5,"FL",NA,1,NA,"Bluefish",1999-09-01,1999-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"36",NA,1999,6,"FL",NA,1,NA,"Bluefish",1999-11-01,1999-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"37",NA,2000,1,"FL",NA,1,NA,"Bluefish",2000-01-01,2000-02-29,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"38",NA,2000,2,"FL",NA,1,NA,"Bluefish",2000-03-01,2000-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"39",NA,2000,3,"FL",NA,1,NA,"Bluefish",2000-05-01,2000-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"40",NA,2000,4,"FL",NA,1,NA,"Bluefish",2000-07-01,2000-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"41",NA,2000,5,"FL",NA,1,NA,"Bluefish",2000-09-01,2000-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"42",NA,2000,6,"FL",NA,1,NA,"Bluefish",2000-11-01,2000-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"43",NA,2001,1,"FL",NA,1,NA,"Bluefish",2001-01-01,2001-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"44",NA,2001,2,"FL",NA,1,NA,"Bluefish",2001-03-01,2001-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"45",NA,2001,3,"FL",NA,1,NA,"Bluefish",2001-05-01,2001-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"46",NA,2001,4,"FL",NA,1,NA,"Bluefish",2001-07-01,2001-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"47",NA,2001,5,"FL",NA,1,NA,"Bluefish",2001-09-01,2001-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"48",NA,2001,6,"FL",NA,1,NA,"Bluefish",2001-11-01,2001-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"49",NA,2002,1,"FL",NA,1,NA,"Bluefish",2002-01-01,2002-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"50",NA,2002,2,"FL",NA,1,NA,"Bluefish",2002-03-01,2002-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"51",NA,2002,3,"FL",NA,1,NA,"Bluefish",2002-05-01,2002-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"52",NA,2002,4,"FL",NA,1,NA,"Bluefish",2002-07-01,2002-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"53",NA,2002,5,"FL",NA,1,NA,"Bluefish",2002-09-01,2002-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"54",NA,2002,6,"FL",NA,1,NA,"Bluefish",2002-11-01,2002-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"55",NA,2003,1,"FL",NA,1,NA,"Bluefish",2003-01-01,2003-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"56",NA,2003,2,"FL",NA,1,NA,"Bluefish",2003-03-01,2003-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"57",NA,2003,3,"FL",NA,1,NA,"Bluefish",2003-05-01,2003-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"58",NA,2003,4,"FL",NA,1,NA,"Bluefish",2003-07-01,2003-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"59",NA,2003,5,"FL",NA,1,NA,"Bluefish",2003-09-01,2003-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"60",NA,2003,6,"FL",NA,1,NA,"Bluefish",2003-11-01,2003-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"61",NA,2004,1,"FL",NA,1,NA,"Bluefish",2004-01-01,2004-02-29,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"62",NA,2004,2,"FL",NA,1,NA,"Bluefish",2004-03-01,2004-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"63",NA,2004,3,"FL",NA,1,NA,"Bluefish",2004-05-01,2004-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"64",NA,2004,4,"FL",NA,1,NA,"Bluefish",2004-07-01,2004-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"65",NA,2004,5,"FL",NA,1,NA,"Bluefish",2004-09-01,2004-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"66",NA,2004,6,"FL",NA,1,NA,"Bluefish",2004-11-01,2004-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"67",NA,2005,1,"FL",NA,1,NA,"Bluefish",2005-01-01,2005-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"68",NA,2005,2,"FL",NA,1,NA,"Bluefish",2005-03-01,2005-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"69",NA,2005,3,"FL",NA,1,NA,"Bluefish",2005-05-01,2005-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"70",NA,2005,4,"FL",NA,1,NA,"Bluefish",2005-07-01,2005-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"71",NA,2005,5,"FL",NA,1,NA,"Bluefish",2005-09-01,2005-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"72",NA,2005,6,"FL",NA,1,NA,"Bluefish",2005-11-01,2005-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"73",NA,2006,1,"FL",NA,1,NA,"Bluefish",2006-01-01,2006-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"74",NA,2006,2,"FL",NA,1,NA,"Bluefish",2006-03-01,2006-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"75",NA,2006,3,"FL",NA,1,NA,"Bluefish",2006-05-01,2006-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"76",NA,2006,4,"FL",NA,1,NA,"Bluefish",2006-07-01,2006-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"77",NA,2006,5,"FL",NA,1,NA,"Bluefish",2006-09-01,2006-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"78",NA,2006,6,"FL",NA,1,NA,"Bluefish",2006-11-01,2006-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"79",NA,2007,1,"FL",NA,1,NA,"Bluefish",2007-01-01,2007-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"80",NA,2007,2,"FL",NA,1,NA,"Bluefish",2007-03-01,2007-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"81",NA,2007,3,"FL",NA,1,NA,"Bluefish",2007-05-01,2007-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"82",NA,2007,4,"FL",NA,1,NA,"Bluefish",2007-07-01,2007-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"83",NA,2007,5,"FL",NA,1,NA,"Bluefish",2007-09-01,2007-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"84",NA,2007,6,"FL",NA,1,NA,"Bluefish",2007-11-01,2007-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"85",NA,2008,1,"FL",NA,1,NA,"Bluefish",2008-01-01,2008-02-29,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"86",NA,2008,2,"FL",NA,1,NA,"Bluefish",2008-03-01,2008-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"87",NA,2008,3,"FL",NA,1,NA,"Bluefish",2008-05-01,2008-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"88",NA,2008,4,"FL",NA,1,NA,"Bluefish",2008-07-01,2008-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"89",NA,2008,5,"FL",NA,1,NA,"Bluefish",2008-09-01,2008-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"90",NA,2008,6,"FL",NA,1,NA,"Bluefish",2008-11-01,2008-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"91",NA,2009,1,"FL",NA,1,NA,"Bluefish",2009-01-01,2009-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"92",NA,2009,2,"FL",NA,1,NA,"Bluefish",2009-03-01,2009-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"93",NA,2009,3,"FL",NA,1,NA,"Bluefish",2009-05-01,2009-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"94",NA,2009,4,"FL",NA,1,NA,"Bluefish",2009-07-01,2009-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"95",NA,2009,5,"FL",NA,1,NA,"Bluefish",2009-09-01,2009-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"96",NA,2009,6,"FL",NA,1,NA,"Bluefish",2009-11-01,2009-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"97",NA,2010,1,"FL",NA,1,NA,"Bluefish",2010-01-01,2010-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"98",NA,2010,2,"FL",NA,1,NA,"Bluefish",2010-03-01,2010-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"99",NA,2010,3,"FL",NA,1,NA,"Bluefish",2010-05-01,2010-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"100",NA,2010,4,"FL",NA,1,NA,"Bluefish",2010-07-01,2010-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"101",NA,2010,5,"FL",NA,1,NA,"Bluefish",2010-09-01,2010-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"102",NA,2010,6,"FL",NA,1,NA,"Bluefish",2010-11-01,2010-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"103",NA,2011,1,"FL",NA,1,NA,"Bluefish",2011-01-01,2011-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"104",NA,2011,2,"FL",NA,1,NA,"Bluefish",2011-03-01,2011-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"105",NA,2011,3,"FL",NA,1,NA,"Bluefish",2011-05-01,2011-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"106",NA,2011,4,"FL",NA,1,NA,"Bluefish",2011-07-01,2011-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"107",NA,2011,5,"FL",NA,1,NA,"Bluefish",2011-09-01,2011-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"108",NA,2011,6,"FL",NA,1,NA,"Bluefish",2011-11-01,2011-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"109",NA,2012,1,"FL",NA,1,NA,"Bluefish",2012-01-01,2012-02-29,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"110",NA,2012,2,"FL",NA,1,NA,"Bluefish",2012-03-01,2012-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"111",NA,2012,3,"FL",NA,1,NA,"Bluefish",2012-05-01,2012-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"112",NA,2012,4,"FL",NA,1,NA,"Bluefish",2012-07-01,2012-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"113",NA,2012,5,"FL",NA,1,NA,"Bluefish",2012-09-01,2012-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"114",NA,2012,6,"FL",NA,1,NA,"Bluefish",2012-11-01,2012-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"115",NA,2013,1,"FL",NA,1,NA,"Bluefish",2013-01-01,2013-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"116",NA,2013,2,"FL",NA,1,NA,"Bluefish",2013-03-01,2013-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"117",NA,2013,3,"FL",NA,1,NA,"Bluefish",2013-05-01,2013-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"118",NA,2013,4,"FL",NA,1,NA,"Bluefish",2013-07-01,2013-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"119",NA,2013,5,"FL",NA,1,NA,"Bluefish",2013-09-01,2013-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"120",NA,2013,6,"FL",NA,1,NA,"Bluefish",2013-11-01,2013-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"121",NA,2014,1,"FL",NA,1,NA,"Bluefish",2014-01-01,2014-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"122",NA,2014,2,"FL",NA,1,NA,"Bluefish",2014-03-01,2014-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"123",NA,2014,3,"FL",NA,1,NA,"Bluefish",2014-05-01,2014-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"124",NA,2014,4,"FL",NA,1,NA,"Bluefish",2014-07-01,2014-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"125",NA,2014,5,"FL",NA,1,NA,"Bluefish",2014-09-01,2014-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"126",NA,2014,6,"FL",NA,1,NA,"Bluefish",2014-11-01,2014-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"127",NA,2015,1,"FL",NA,1,NA,"Bluefish",2015-01-01,2015-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"128",NA,2015,2,"FL",NA,1,NA,"Bluefish",2015-03-01,2015-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"129",NA,2015,3,"FL",NA,1,NA,"Bluefish",2015-05-01,2015-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"130",NA,2015,4,"FL",NA,1,NA,"Bluefish",2015-07-01,2015-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"131",NA,2015,5,"FL",NA,1,NA,"Bluefish",2015-09-01,2015-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"132",NA,2015,6,"FL",NA,1,NA,"Bluefish",2015-11-01,2015-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"133",NA,2016,1,"FL",NA,1,NA,"Bluefish",2016-01-01,2016-02-29,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"134",NA,2016,2,"FL",NA,1,NA,"Bluefish",2016-03-01,2016-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"135",NA,2016,3,"FL",NA,1,NA,"Bluefish",2016-05-01,2016-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"136",NA,2016,4,"FL",NA,1,NA,"Bluefish",2016-07-01,2016-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"137",NA,2016,5,"FL",NA,1,NA,"Bluefish",2016-09-01,2016-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"138",NA,2016,6,"FL",NA,1,NA,"Bluefish",2016-11-01,2016-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"139",NA,2017,1,"FL",NA,1,NA,"Bluefish",2017-01-01,2017-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"140",NA,2017,2,"FL",NA,1,NA,"Bluefish",2017-03-01,2017-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"141",NA,2017,3,"FL",NA,1,NA,"Bluefish",2017-05-01,2017-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"142",NA,2017,4,"FL",NA,1,NA,"Bluefish",2017-07-01,2017-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"143",NA,2017,5,"FL",NA,1,NA,"Bluefish",2017-09-01,2017-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"144",NA,2017,6,"FL",NA,1,NA,"Bluefish",2017-11-01,2017-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"145",NA,2018,1,"FL",NA,1,NA,"Bluefish",2018-01-01,2018-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"146",NA,2018,2,"FL",NA,1,NA,"Bluefish",2018-03-01,2018-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"147",NA,2018,3,"FL",NA,1,NA,"Bluefish",2018-05-01,2018-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"148",NA,2018,4,"FL",NA,1,NA,"Bluefish",2018-07-01,2018-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"149",NA,2018,5,"FL",NA,1,NA,"Bluefish",2018-09-01,2018-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"150",NA,2018,6,"FL",NA,1,NA,"Bluefish",2018-11-01,2018-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
